,event_date,event_state,event_city,event_name,event_location_name,event_address
0,2017-01-08,GA,Brookhaven,Marist College Admissions Leaders Forum,Marist School,3790 Ashford Dunwoody Rd NE
1,2017-01-11,GA,Atlanta,Atlanta Girls School College Panel,Atlanta Girls School,3254 Northside Pkwy NW
2,2017-01-12,GA,Bogart,MOWR Parent Information Night,North Oconee High School,1081 Rocky Branch Rd
3,2017-01-15,GA,Athens,Colleges in Your Backyard,University of Georgia,Tate Student Center - Grand Hall\45 Baxter St.
4,2017-01-17,CA,Culver City,Culver City High School Case Study Panel & Mini College Fair,Culver City High School,4401 Elenda St
5,2017-01-19,CA,Calabasas,Calabasas High School Case Study & Mini College Fair,Calabasas High School,22855 Mulholland Hwy
6,2017-01-25,GA,Atlanta,REACH Day College & Career Fair,Georgia Railroad Freight Depot,65 Martin Luther King Jr Dr SE
7,2017-01-25,TX,Frisco,Frisco Independent School District College Fair,Reedy High School,3003 Stonebrook Pkwy
8,2017-01-26,GA,Athens,Cedar Shoals High School MOWR Parent/Student meeting,Cedar Shoals High School,1300 Cedar Shoals Dr
9,2017-01-26,GA,Athens,Clarke Central High School AP & MOWR Night,Clarke Central High School,350 S Milledge Ave
10,2017-01-27,MD,Bethesda,"""College Day on the Pike"" College Fair @ Stone Ridge School of the Sacred Heart",Stone Ridge Sch Sacred Heart,9101 Rockville Pike
11,2017-01-27,MD,Kensington,"""College Day on the Pike"" College Fair @ Academy of the Holy Cross",Academy Of The Holy Cross,4920 Strathmore Ave
12,2017-01-28,CA,Los Angeles,Hollywood High School Spring Semester College Fair,Hollywood High School,1521 N Highland Ave
13,2017-01-29,SC,Greenville,Christ Church Episcopal School Case Studies Program & Mini College Fair,Christ Church Episcopal School,567 Wenwood Rd
14,2017-01-30,GA,Atlanta,The Westminster Schools Deans Program,The Westminster Schools,1424 W Paces Ferry Rd NW
15,2017-02-01,TX,Lewisville,Lewisville High School College & Career Day Fair,Lewisville High School,1098 W Main St
16,2017-02-02,GA,Watkinsville,Oconee County High School MOWR Night,Oconee County High School,2721 Hog Mountain Rd
17,2017-02-02,TX,Arlington,Oakridge Fair,Oakridge School,5900 W Pioneer Pkwy
18,2017-02-02,TX,Fort Worth,All Saints Fair,All Saints Episcopal School,9700 Saints Cir
19,2017-02-02,TX,Fort Worth,Fort Worth Country Day School Fair,Fort Worth Country Day School,4200 Country Day Ln
20,2017-02-02,TX,Fort Worth,Trinity Valley School Fair,Trinity Valley School,7500 Dutch Branch Rd
21,2017-02-21,GA,Athens,Athens Academy College Panel,Athens Academy,PO Box 6548
22,2017-02-23,FL,Jacksonville,Jacksonville Preparatory Schools College Fair,"University of North Florida, University Center",12000 Alumni Dr
23,2017-02-25,CA,Torrance,Torrance Unified School District College Fair,South High School,4801 Pacific Coast Hwy
24,2017-02-25,FL,Tampa,NACAC - Tampa National College Fair,Florida State Fairgrounds Expo Hall,4800 N US Highway 301
25,2017-02-26,FL,Miami,NACAC - Miami National College Fair,DoubleTree by Hilton Miami Airport Convention Center,711 NW 72nd Ave
26,2017-02-27,GA,Savannah,Savannah Country Day School,Savannah Country Day School,824 Stillwood Dr
27,2017-03-01,TX,Arlington,Oakridge School Presentation on Selective Public Schools,Oakridge School,5900 W Pioneer Pkwy
28,2017-03-03,GA,Social Circle,Social Circle High School College & Career Fair,Social Circle High,154 Alcova Dr
29,2017-03-09,CA,Los Angeles,Los Angeles High School Fair,Los Angeles Senior High School,4650 W Olympic Blvd
30,2017-03-11,CA,La Verne,Lutheran High School College Fair,Lutheran High School,3960 Fruit St
31,2017-03-11,SC,Greenville,NACAC - Upstate South Carolina National College Fair,TD Convention Center,1 Exposition Dr
32,2017-03-12,NC,Charlotte,NACAC - Charlotte National College Fair,The Park Expo & Conference Center,800 Briar Creek Rd
33,2017-03-13,NC,Huntersville,Christ the King Catholic High School,Christ The King High School,2011 Crusader Way
34,2017-03-13,NC,Matthews,Covenant Day High School College Fair,Covenant Day School,800 Fullwood Rd
35,2017-03-14,NC,Raleigh,Grace Christian School,Grace Christian School,1101 Buck Jones Rd
36,2017-03-14,NC,Raleigh,NACAC - Raleigh National College Fair,Raleigh Convention Center,500 S Salisbury St
37,2017-03-14,NC,Raleigh,Sanderson High School Visit,Sanderson High School,5500 Dixon Dr
38,2017-03-14,NC,Raleigh,St. David's School,Saint David's School,3400 White Oak Rd
39,2017-03-15,GA,Atlanta,KIPP Atlanta HS Mini College Fair,Kipp Atlanta Collegiate,98 Anderson Ave NW
40,2017-03-16,GA,Columbus,Columbus High School College Fair,Columbus High School,1700 Cherokee Ave
41,2017-03-16,GA,Cumming,Keys to the Dawg House @ Forsyth Central High School,Forsyth Central High School,520 Tribble Gap Rd
42,2017-03-18,GA,Atlanta,Latino College & STEM Fair,Georgia Tech Student Center,350 Ferst Dr. NW
43,2017-03-19,GA,Atlanta,NACAC - Atlanta National College Fair,Georgia International Convention Center,2000 Convention Center Concourse
44,2017-03-20,GA,Atlanta,College Fair at Charles R. Drew Charter School,Charles R. Drew Charter School,300 E Lake Blvd SE
45,2017-03-20,GA,Fairburn,Creekside High School College Fair,Creekside High School,7405 Herndon Rd
46,2017-03-20,GA,Marietta,QUEST East College Fair @ Kell High School,Carlton J Kell High School,4770 Lee Waters Rd
47,2017-03-20,MD,Olney,Our Lady of Good Counsel High School College Fair,Our Lady Of Good Counsel HS,17301 Old Vic Blvd
48,2017-03-21,CA,Newport Beach,Corona del Mar High School RACC College Night,Corona Del Mar High School,2101 Eastbluff Dr
49,2017-03-21,GA,Kennesaw,QUEST West College Fair @ Kennesaw Mountain High School,Kennesaw Mountain High School,1898 Kennesaw Due West Rd NW
50,2017-03-23,CA,Santa Ana,Foothill High School RACC College Night,Foothill High School,19251 Dodge Ave
51,2017-03-25,GA,Atlanta,Atlanta Invitational Case Studies and College Fair,Holy Innocents Episcopal Sch,805 Mount Vernon Hwy
52,2017-03-27,CA,Newport Beach,Newport Harbor High School RACC Mini Fair,Newport Harbor High School,600 Irvine Ave
53,2017-03-27,CA,San Juan Capo,St. Margaret's Episcopal School Visit,Saint Margarets Episcopal Sch,31641 La Novia Ave
54,2017-03-29,TX,Dallas,Hillcrest High School,Hillcrest High School,9924 Hillcrest Rd
55,2017-03-29,TX,Plano,John Paul II High School Visit,John Paul Ii High School,900 Coit Rd
56,2017-03-29,VA,Fairfax,Northern Virginia Regional College Fair,George Mason University,4400 University Dr Stop 3A4
57,2017-03-30,GA,Stone Mtn,Stephenson High School College Fair,Stephenson High School,701 Stephenson Rd
58,2017-03-30,GA,Stone Mtn,Stephenson High School Pizza Yield Luncheon,Stephenson High School,701 Stephenson Rd
59,2017-03-30,TN,Chattanooga,Coast-to-Coast College Fair,Chattanooga Convention Center,1150 Carter Dr
60,2017-03-30,TX,Mesquite,Dallas Christian School Mini-Fair,Dallas Christian High School,1515 Republic Pkwy
61,2017-04-01,TN,Nashville,Nashville Case Studies and Mini College Fair,Harpeth Hall School,3801 Hobbs Rd
62,2017-04-01,TX,Dallas,College Previews College Fair,Hockaday School,11600 Welch Rd
63,2017-04-01,VA,Woodbridge,IB Mid-Atlantic College Fair,Gar-Field Senior High School,14000 Smoketown Rd
64,2017-04-04,DC,Washington,St. John's College High School College Fair,Saint Johns College HS,2607 Military Rd NW
65,2017-04-04,TX,Addison,Dallas Darn Private Swing - Trinity Christian Academy,Trinity Christian Academy,17001 Addison Rd
66,2017-04-04,TX,Dallas,Dallas Darn Private Swing - Bishop Lynch,Bishop Lynch High School,9750 Ferguson Rd
67,2017-04-04,TX,Dallas,Dallas Darn Private Swing - Ursuline Academy,Ursuline Academy,4900 Walnut Hill Ln
68,2017-04-05,MD,Gaithersburg,NACAC - Montgomery County National College Fair,Montgomery County Agricultural Center,501 Perry Pkwy
69,2017-04-05,TX,Hurst,Texas IB Schools College Fair,Hurst Conference Center,1601 Campus Dr
70,2017-04-09,GA,Athens,Athens Admitted Student Reception,Richard B. Russell Special Collections Library - Rm. 285,300 S Hull St
71,2017-04-11,GA,Atlanta,Atlanta Admitted Student Reception,Loudermilk Conference Center,40 Courtland St NE
72,2017-04-12,CA,Long Beach,Long Beach Polytechnic HS RACC Pres & Mini Fair,Long Beach Polytechnic HS,1600 Atlantic Ave
73,2017-04-12,GA,Lithonia,Arabia Mountain High School Pizza Yield Luncheon,Arabia Mountain High School,6610 Browns Mill Rd
74,2017-04-12,TX,Dallas,Highland Park College Kickoff 2017,Highland Park High School,4220 Emerson Ave
75,2017-04-13,CA,La Canada,La Canada HS RACC Case Study,La Canada High School,4463 Oak Grove Dr
76,2017-04-13,TX,Houston,NACAC - Houston National College Fair,NRG Park,1 Nrg Park
